,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
60,276,271,249,146,298,298,299,"2,5-Dibromofuran",CB56,32460-00-7,223.8472389,BrC1=CC=C(Br)O1,CO,Methanol,0.2301,0.0567,BrC1=CC=C(Br)O1.CO,0.10004441034588171,0.3301444103458817
154,138,279,189,265,274,274,275,1-iodo-4-nitrobenzene,Z136,636-98-6,249.0,O=[N+](C1=CC=C(I)C=C1)[O-],CO,Methanol,0.2366,0.0542,O=[N+](C1=CC=C(I)C=C1)[O-].CO,0.09776224885174747,0.3343622488517475
95,37,75,76,145,222,222,223,4-bromophenol,Z135,106-41-2,173.0,C1=CC(=CC=C1O)Br,CO,Methanol,0.4809,0.0136,C1=CC(=CC=C1O)Br.CO,0.09762208564604757,0.3832779143539524
133,309,378,296,246,302,302,303,Methyl 4-bromobenzoate,CJ70,619-42-1,215.05,BrC1=CC=C(C(OC)=O)C=C1,CO,Methanol,0.5307,0.0146,BrC1=CC=C(C(OC)=O)C=C1.CO,0.09712660970277442,0.6278266097027744
142,261,217,347,355,125,125,125,,Z24,14753-51-6,268.0,OC1=CC(Br)=C(O)C=C1Br,CO,Methanol,0.7556,0.0382,OC1=CC(Br)=C(O)C=C1Br.CO,0.09677518496910831,0.8523751849691084
185,125,65,178,278,106,106,106,,Z15,623-26-7,256.0,N#CC1=CC=C(C#N)C=C1,CO,Methanol,0.4892,0.0786,N#CC1=CC=C(C#N)C=C1.CO,0.09536576555725101,0.393834234442749
94,140,105,200,195,272,272,273,"2,4,6-TRICHLOROPHENOL, 98%",CC5,88-06-2,195.0,Oc1c(Cl)cc(Cl)cc1Cl,CO,Methanol,0.5751,0.107,Oc1c(Cl)cc(Cl)cc1Cl.CO,0.09514020299954273,0.6702402029995427
115,99,222,172,166,230,230,231,"1-CHLORO-4-NITROBENZENE, 99%",D20,100-00-5,157.0,[O-][N+](=O)c1ccc(Cl)cc1,CO,Methanol,0.1831,0.0213,[O-][N+](=O)c1ccc(Cl)cc1.CO,0.0930584190882914,0.2761584190882914
131,67,229,117,197,76,76,76,"thiophene-2,5-dicarbaldehyde",Z78,932-95-6,140.0,C1=C(SC(=C1)C=O)C=O,CO,Methanol,0.5226,0.014,C1=C(SC(=C1)C=O)C=O.CO,0.09188918608467322,0.6144891860846732
134,143,231,218,171,239,239,240,,Z162,99-99-0,137.0,CC1=CC=C(C=C1)[N+](=O)[O-],CO,Methanol,0.2697,0.0275,CC1=CC=C(C=C1)[N+](=O)[O-].CO,0.09151805213318032,0.3612180521331803
159,187,286,273,187,173,173,173,4-methoxybenzaldehyde,Z90,123-11-5,136.0,COC1=CC=C(C=C1)C=O,CO,Methanol,0.3365,0.0159,COC1=CC=C(C=C1)C=O.CO,0.09097975277445236,0.4274797527744524
135,233,225,253,264,270,270,271,Losartan potassium salt,AP53,124750-99-8,460.1180687,OCC1=C(Cl)N=C(CCCC)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4,CO,Methanol,0.9542,0.0012,OCC1=C(Cl)N=C(CCCC)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4.CO,0.09035255077186932,1.0445525507718694
57,71,67,77,121,103,103,103,Terephthalaldehyde,S53,623-27-8,134.0367794,O=CC1=CC=C(C=O)C=C1,CO,Methanol,0.5979,0.0111,O=CC1=CC=C(C=O)C=C1.CO,0.08980908942005761,0.5080909105799424
81,15,72,69,136,293,293,294,"DIETHYL 1,4-DIHYDRO-2,6-DIMETHYL-3,5-PYRIDINEDICARBOXYLATE",CK27,1149-23-1,253.29,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,CO,Methanol,1.0,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1.CO,0.08923971448867118,0.9107602855113288
