,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
845,845.0,848.0,5-Methylfurfural ,CJ54,620-02-0,110.0367794,O=CC1=CC=C(C)O1,CC1=CC=CC=C1,Toluene,0.174233117,0.098901679,O=CC1=CC=C(C)O1.CC1=CC=CC=C1,0.2060226180902712,-0.0317895010902712
782,782.0,785.0,5-Aminoindole,CA38,5192-03-0,132.16,Nc1ccc2[nH]ccc2c1,CCO,Ethanol,0.208835585,0.039953831,Nc1ccc2[nH]ccc2c1.CCO,0.2052037828591377,0.4140393678591377
878,878.0,881.0,"4,5-Dibromo-o-xylene",CB53,24932-48-7,261.8992745,CC1=CC(Br)=C(Br)C=C1C,CC1=CC=CC=C1,Toluene,0.649317239,0.045178208,CC1=CC(Br)=C(Br)C=C1C.CC1=CC=CC=C1,0.20503872960777564,0.4442785093922244
852,852.0,855.0,m-Cresol GPR RECTAPUR�,"CM23, Y1, Y10",108-39-4,108.0575149,CC1=CC(O)=CC=C1,CC1=CC=CC=C1,Toluene,-0.185042046,0.050453788,CC1=CC(O)=CC=C1.CC1=CC=CC=C1,0.20334911723588098,0.018307071235881
1019,1019.0,1022.0,4-Chloroindole,"CE3, RSY39",25235-85-2,151.6,C1=CC2=C(C=CN2)C(=C1)Cl,CC1CCCO1,2-Methly tetrahydrofurane,0.54839248,0.100409163,C1=CC2=C(C=CN2)C(=C1)Cl.CC1CCCO1,0.20313552187357126,0.3452569581264287
494,494.0,495.0,Sesamol,CJ74,533-31-3,138.12,C1OC2=C(O1)C=C(C=C2)O,CC(C)=O,Acetone,0.431285154,0.076966723,C1OC2=C(O1)C=C(C=C2)O.CC(C)=O,0.20270508853314628,0.6339902425331463
959,959.0,962.0,"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CC(C)(C)OC,Methyl tert butyl ether,0.292597149,0.040420296,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1.CC(C)(C)OC,0.196982514919226,0.095614634080774
883,883.0,886.0,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC1=CC=CC=C1,Toluene,0.265497708,0.024749453,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CC1=CC=CC=C1,0.19269320950228402,0.458190917502284
1041,1041.0,1044.0,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",CA81,6197-30-4,361.48,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,CC1CCCO1,2-Methly tetrahydrofurane,0.532942585,0.044407247,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1.CC1CCCO1,0.19096930729161676,0.7239118922916168
935,935.0,938.0,5-Aminoindole,CA38,5192-03-0,132.16,Nc1ccc2[nH]ccc2c1,CC(C)(C)OC,Methyl tert butyl ether,-0.412649664,0.065177558,Nc1ccc2[nH]ccc2c1.CC(C)(C)OC,0.19028214138303381,-0.2223675226169662
