,Unnamed: 0,Unnamed: 0.1,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,dm300_err,dm300_measured,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1
320,883,886,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC1=CC=CC=C1,Toluene,0.265497708,0.024749453,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CC1=CC=CC=C1,,,,,,,,0.2603053651105914,0.5258030731105914,,,,
66,483,484,2-Aminopyridine,CP27,504-29-0,94.0,C1=CC=NC(=C1)N,CC(C)=O,Acetone,0.150828439,0.045049028,C1=CC=NC(=C1)N.CC(C)=O,,,,,,,,0.25643580938498134,0.4072642483849814,,,,
434,997,1000,2-bromo-6-nitrophenol,CB150,13073-25-1,216.9374551,OC1=C([N+]([O-])=O)C=CC=C1Br,CC1CCCO1,2-Methly tetrahydrofurane,0.46414652,0.099706102,OC1=C([N+]([O-])=O)C=CC=C1Br.CC1CCCO1,,,,,,,,0.2437829864751209,0.2203635335248791,,,,
161,724,727,5-Aminoindole,CA38,5192-03-0,132.16,Nc1ccc2[nH]ccc2c1,CC(O)C,2-Propanol,0.50463971,0.086324401,Nc1ccc2[nH]ccc2c1.CC(O)C,,,,,,,,0.2396330316932357,0.2650066783067643,,,,
77,494,495,Sesamol,CJ74,533-31-3,138.12,C1OC2=C(O1)C=C(C=C2)O,CC(C)=O,Acetone,0.431285154,0.076966723,C1OC2=C(O1)C=C(C=C2)O.CC(C)=O,,,,,,,,0.23705186734554273,0.6683370213455427,,,,
42,459,460,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217.0,COC1=CC(OC)=CC(Br)=C1,CCOC(C)=O,Etyl acetate,0.681837537,0.114930821,COC1=CC(OC)=CC(Br)=C1.CCOC(C)=O,,,,,,,,0.23690982035946767,0.4449277166405324,,,,
281,844,847,"3,4-Dimethoxyaniline",CC63,6315-89-5,153.0789786,NC1=CC=C(OC)C(OC)=C1,CC1=CC=CC=C1,Toluene,-0.145059596,0.028260189,NC1=CC=C(OC)C(OC)=C1.CC1=CC=CC=C1,,,,,,,,0.2359076481213428,0.0908480521213428,,,,
849,154,270,Sesamol,CJ74,533-31-3,138.12,C1OC2=C(O1)C=C(C=C2)O,CO,Methanol,0.8824,0.0204,C1OC2=C(O1)C=C(C=C2)O.CO,140.0,132.0,4.0,46.0,319.0,44.0,196.0,0.2335397828458904,0.6488602171541096,207.0,91.0,91.0,91.0
56,473,474,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CCOC(C)=O,Etyl acetate,0.638306897,0.104816459,C(#Cc1ccccc1)c1ccccc1.CCOC(C)=O,,,,,,,,0.23118438539036928,0.4071225116096307,,,,
190,753,756,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.79,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CC(O)C,2-Propanol,0.175608464,0.434027132,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CC(O)C,,,,,,,,0.2307539642612013,0.4063624282612013,,,,
