,DOI,Year,Journal,Membrane,MWCO,Membrane type,Solute,Solute W conc,Solute M conc,Solvent,Solvent Mw,Solvent diameter,Solvent viscosity,Solvent molar volume,Density,H1,H2,H3,H4,Livingston parameter,Pressure,Flux,Permeance,measured_rejection,Unnamed: 24,solvent_smiles,Temperature,Process configuration,solute_smiles,full_smiles
151,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,98.97,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C)(C)C5=CC=CC=C5,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C)(C)C5=CC=CC=C5.O=CN(C)C
152,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,98.97,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C)(C)C%14=CC=CC=C%14,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C)(C)C%14=CC=CC=C%14.O=CN(C)C
153,10.1002/cctc.201500902,2016,ChemCatChem,DM300,300,,180.3,1.8,0.009983,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,30.0,25.7,0.86,99.0,0.99,CCO,23.0,CF,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C45CC6CC(C5)CC(C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C45CC6CC(C5)CC(C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C.CCO
154,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,994.0,1.0,0.001006,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,30.0,21.1,0.7,99.0,0.99,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9.CCO
155,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,1098.0,1.0,0.000911,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,20.0,14.0,0.7,99.0,0.99,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10.CCO
156,10.1021/acssuschemeng.5b00734,2015,ASCECG,DM300,300,,374.0,56.1,0.15,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,30.0,8.6,0.29,99.0,0.99,CCO,23.0,CF,OCC[P](CCCC)(CCCC)CCCC.[I],OCC[P](CCCC)(CCCC)CCCC.[I].CCO
157,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,994.0,1.0,0.001006,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,40.0,28.1,0.7,99.1,0.99,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9.CCO
158,10.1039/c7ra11827a,2017,RSC Adv,DM300,300,,502.4,0.5,0.000995,MeTHF,86.1,0.685,0.55,100.85,0.854,16.9,5.0,4.3,18.14,19.46,40.0,8.4,0.21,99.1,0.99,CC1CCCO1,25.0,CF,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F.CC1CCCO1
159,10.1016/j.memsci.2017.05.003,2017,Journal of Membrane Science,DM300,300,,1018.0,35.6,0.034971,MeCN,41.1,0.55,0.37,52.23,0.786,15.3,18.0,6.1,24.4,160.91,40.0,28.9,0.72,99.2,0.99,CC#N,25.0,DE,CC1=CC(=CC(=C1N)S(=O)(=O)[O-])/C(=C\2/C=CC(=[NH2+])C(=C2)S(=O)(=O)[O-])/C3=CC(=C(C=C3)N)S(=O)(=O)[O-].[Na+].[Na+],CC1=CC(=CC(=C1N)S(=O)(=O)[O-])/C(=C\2/C=CC(=[NH2+])C(=C2)S(=O)(=O)[O-])/C3=CC(=C(C=C3)N)S(=O)(=O)[O-].[Na+].[Na+].CC#N
160,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,1098.0,1.0,0.000911,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,40.0,28.1,0.7,99.2,0.99,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10.CCO
161,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.27,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C)(C)C7=CC=CC=C7,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C)(C)C7=CC=CC=C7.O=CN(C)C
162,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.27,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C)(C)C%13=CC=CC=C%13,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C)(C)C%13=CC=CC=C%13.O=CN(C)C
163,10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,,1098.0,1.0,0.000911,EtOH,46.1,0.52,1.07,44.13,1.044,18.4,6.3,13.7,23.79,21.71,30.0,21.1,0.7,99.3,0.99,CCO,25.0,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10.CCO
164,10.1039/c7ra11827a,2017,RSC Adv,DM300,300,,502.4,0.5,0.000995,MeTHF,86.1,0.685,0.55,100.85,0.854,16.9,5.0,4.3,18.14,19.46,10.0,2.5,0.25,99.3,0.99,CC1CCCO1,25.0,CF,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F.CC1CCCO1
165,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.41,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C)(C)C6=CC=CC=C6,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C)(C)C6=CC=CC=C6.O=CN(C)C
166,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.41,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C)(C)C8=CC=CC=C8,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C)(C)C8=CC=CC=C8.O=CN(C)C
167,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.41,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C)(C)C%10=CC=CC=C%10,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C)(C)C%10=CC=CC=C%10.O=CN(C)C
168,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.41,0.99,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11.O=CN(C)C
169,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.56,1.0,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9.O=CN(C)C
170,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,99.56,1.0,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C)(C)C%12=CC=CC=C%12,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C)(C)C%12=CC=CC=C%12.O=CN(C)C
171,10.1039/c7ra11827a,2017,RSC Adv,DM300,300,,502.4,0.5,0.000995,MeTHF,86.1,0.685,0.55,100.85,0.854,16.9,5.0,4.3,18.14,19.46,20.0,5.5,0.28,99.8,1.0,CC1CCCO1,25.0,CF,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F.CC1CCCO1
172,10.1039/c7ra11827a,2017,RSC Adv,DM300,300,,502.4,0.5,0.000995,MeTHF,86.1,0.685,0.55,100.85,0.854,16.9,5.0,4.3,18.14,19.46,30.0,7.8,0.26,99.8,1.0,CC1CCCO1,25.0,CF,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F,FC(C(C=C1)=CC=C1C2N=C(C3=CC=C(C(F)(F)F)C=C3)NC2C4=CC=C(C(F)(F)F)C=C4)(F)F.CC1CCCO1
173,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,100.0,1.0,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C)(C)C%15=CC=CC=C%15,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C)(C)C%15=CC=CC=C%15.O=CN(C)C
174,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,100.0,1.0,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C%15=CC=CC=C%15)CC(C)(C)C%16=CC=CC=C%16,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C%15=CC=CC=C%15)CC(C)(C)C%16=CC=CC=C%16.O=CN(C)C
175,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,100.0,1.0,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C%15=CC=CC=C%15)CC(C%16=CC=CC=C%16)CC(C)(C)C%17=CC=CC=C%17,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C%15=CC=CC=C%15)CC(C%16=CC=CC=C%16)CC(C)(C)C%17=CC=CC=C%17.O=CN(C)C
176,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,100.0,1.0,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C%15=CC=CC=C%15)CC(C%16=CC=CC=C%16)CC(C%17=CC=CC=C%17)CC(C)(C)C%18=CC=CC=C%18,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C%15=CC=CC=C%15)CC(C%16=CC=CC=C%16)CC(C%17=CC=CC=C%17)CC(C)(C)C%18=CC=CC=C%18.O=CN(C)C
177,10.1016/j.memsci.2016.10.015,2017,,DM300,300,,,220.0,,DMF,73.1,0.626,0.8,77.1,0.948,17.4,13.7,11.3,24.86,43.58,30.0,,,100.0,1.0,O=CN(C)C,,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11.O=CN(C)C
