,Unnamed: 0,Unnamed: 0.1,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_pred
888,888,891,2-Methylpyridine,CD8,109-06-8,93.05784922,CC1=NC=CC=C1,CCCCCCC,Heptane,-0.04388435,0.062248805,CC1=NC=CC=C1.CCCCCCC,0.04404800536452749,-0.0879323553645275
722,722,725,Avobenzone Pharmaceutical Secondary Stan (Avobenzone),AP12,70356-09-1,310.1568946,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC#N,Acetonitrile,0.985245118,0.000837986,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.CC#N,0.043839836281988065,0.941405281718012
927,927,930,"2,5-Di-tert-butylhydroquinone",CB114,88-58-4,222.33,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,CCCCCCC,Heptane,-0.07302073,0.045992651,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O.CCCCCCC,0.04365951580379761,-0.0293612141962024
201,201,201,"2,5 dimethyl anilin",CC46,95-78-3,121.0891494,NC1=CC(C)=CC=C1C,CO,Methanol,0.6869,0.0208,NC1=CC(C)=CC=C1C.CO,0.04364680283728262,0.6432531971627173
673,673,674,Ibuprofen,AP10,15687-27-1,206.1306798,CC(CC1=CC=C(C(C(O)=O)C)C=C1)C,CC#N,Acetonitrile,0.953602564,0.006474439,CC(CC1=CC=C(C(C(O)=O)C)C=C1)C.CC#N,0.04356388151803525,0.9971664455180352
875,875,878,Triptycene,CB109,477-75-8,254.0,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,CC1=CC=CC=C1,Toluene,0.589248536,0.043681548,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35.CC1=CC=CC=C1,0.043419469198640925,0.632668005198641
1143,1143,1146,2-Hydroxy-4-methoxybenzophenone,CC 19,131-57-7,228.0,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,O=CN(C)C,Dimethyl formamide,0.752157531,0.011850937,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O.O=CN(C)C,0.04332251471683901,0.7954800457168391
338,338,339,Dibenzyl ether,CA6,103-50-4,198.0,C(OCc1ccccc1)c2ccccc2,CO,Methanol,0.4606,0.1663,C(OCc1ccccc1)c2ccccc2.CO,0.04318149605014182,0.4174185039498582
791,791,794,CIPROFLOXACIN,AP40,85721-33-1,331.3,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,CCO,Ethanol,0.998843345,0.000507514,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.CCO,0.04309015464721366,0.9557531903527864
491,491,492,Sulfamethoxazole,AP38,723-46-6,253.0,CC1=CC(NS(=O)(C2=CC=C(C=C2)N)=O)=NO1,CC(C)=O,Acetone,0.956943379,0.049265702,CC1=CC(NS(=O)(C2=CC=C(C=C2)N)=O)=NO1.CC(C)=O,0.04305662099999996,1.0
222,222,223,4-bromophenol,Z135,106-41-2,173.0,C1=CC(=CC=C1O)Br,CO,Methanol,0.4809,0.0136,C1=CC(=CC=C1O)Br.CO,0.042884040975333215,0.4380159590246668
438,438,439,Tetrafluoroterephthalonitrile 5G,"CB104, C79",1835-49-0,199.9997609,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,CCOC(C)=O,Etyl acetate,0.534027808,0.038494385,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F.CCOC(C)=O,0.0426435180323651,0.5766713260323652
703,703,706,1-Methylnaphthalene,CC25,90-12-0,142.0,CC1=CC=CC2=CC=CC=C12,CC#N,Acetonitrile,0.673329323,0.019832991,CC1=CC=CC2=CC=CC=C12.CC#N,0.042591644996342826,0.6307376780036572
280,280,281,Diisopropyl succinate,Z20,924-88-9,202.0,CC(C)OC(=O)CCC(=O)OC(C)C,CO,Methanol,0.9202,0.007,CC(C)OC(=O)CCC(=O)OC(C)C.CO,0.04229047704526134,0.8779095229547387
833,833,836,"4,5-Dibromo-o-xylene",CB53,24932-48-7,261.8992745,CC1=CC(Br)=C(Br)C=C1C,CCO,Ethanol,0.738927723,0.012236154,CC1=CC(Br)=C(Br)C=C1C.CCO,0.04224116781830611,0.7811688908183061
1101,1101,1104,NNN'N'-Tetraethylisophthalamide,D42,13698-87-8,276.0,CCN(CC)C(C1=CC=CC(C(N(CC)CC)=O)=C1)=O,O=CN(C)C,Dimethyl formamide,0.941415337,0.002706699,CCN(CC)C(C1=CC=CC(C(N(CC)CC)=O)=C1)=O.O=CN(C)C,0.04215609704519574,0.9835714340451958
1141,1141,1144,5-Bromo-1-methyl-1H-indole,RSY40,10075-52-2,210.07,CN1C=CC2=C1C=CC(=C2)Br,O=CN(C)C,Dimethyl formamide,0.506293153,0.008662297,CN1C=CC2=C1C=CC(=C2)Br.O=CN(C)C,0.0421383683451082,0.5484315213451082
793,793,796,"2,6-Lutidine",CC50,108-48-5,107.0,CC1=NC(C)=CC=C1,CCO,Ethanol,0.52356698,0.019916576,CC1=NC(C)=CC=C1.CCO,0.041794498392554835,0.4817724816074452
601,601,602,5-aminoquinoline,CB77,611-34-7,144.17,Nc1cccc2ncccc12,CC#N,Acetonitrile,0.667489128,0.005866319,Nc1cccc2ncccc12.CC#N,0.04174850652399309,0.625740621476007
240,240,241,"1-CHLORO-4-NITROBENZENE, 99%",Z128,100-00-5,157.0,O=[N+](C1=CC=C(Cl)C=C1)[O-],CO,Methanol,0.3506,0.012,O=[N+](C1=CC=C(Cl)C=C1)[O-].CO,0.04127089767011394,0.3093291023298861
615,615,616,Nizatidine,RB32,76963-41-2,331.1136669,CN/C(NCCSCC1=CSC(CN(C)C)=N1)=C\[N+]([O-])=O,CC#N,Acetonitrile,0.958794356,0.007763123,CN/C(NCCSCC1=CSC(CN(C)C)=N1)=C\[N+]([O-])=O.CC#N,0.04120564400000004,1.0
901,901,904,"1,4-Dimethoxybenzene",CK2,150-78-7,138.0680796,COC1=CC=C(OC)C=C1,CCCCCCC,Heptane,-0.033364613,0.03653408,COC1=CC=C(OC)C=C1.CCCCCCC,0.0409047878905173,-0.0742694008905173
293,293,294,"DIETHYL 1,4-DIHYDRO-2,6-DIMETHYL-3,5-PYRIDINEDICARBOXYLATE",CK27,1149-23-1,253.29,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,CO,Methanol,1.0,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1.CO,0.040866715902915574,0.9591332840970844
321,321,322,,Z182,619-44-3,262.0,COC(=O)C1=CC=C(C=C1)I,CO,Methanol,0.466,0.0198,COC(=O)C1=CC=C(C=C1)I.CO,0.040854593102929104,0.5068545931029291
487,487,488,Aniline,CP37,62-53-3,93.13,C1=CC=C(C=C1)N,CC(C)=O,Acetone,0.457213331,0.034768704,C1=CC=C(C=C1)N.CC(C)=O,0.04082237925805582,0.4163909517419442
702,702,705,"4,4'-Dimethylbenzophenone",Z63,611-97-2,210.0,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,CC#N,Acetonitrile,0.928815637,0.002562021,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C.CC#N,0.04071055099954579,0.8881050860004542
543,543,544,5-BROMOINDOLE,RSY14,10075-50-0,196.04,C1=CC2=C(C=CN2)C=C1Br,CC(C)=O,Acetone,0.724092237,0.006601917,C1=CC2=C(C=CN2)C=C1Br.CC(C)=O,0.040492499870978804,0.6835997371290212
261,261,262,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.79,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CO,Methanol,0.7398,0.0048,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CO,0.040169162577751605,0.7799691625777516
589,589,590,4-hydroxybenzaldehyde,CK34,123-08-0,122.0367794,O=CC1=CC=C(O)C=C1,CC#N,Acetonitrile,0.513760208,0.008556167,O=CC1=CC=C(O)C=C1.CC#N,0.03923984509831202,0.553000053098312
72,72,72,,Z36,7226-23-5,128.0,O=C1N(C)CCCN1C,CO,Methanol,0.5232,0.0295,O=C1N(C)CCCN1C.CO,0.0391894558022059,0.5623894558022059
67,67,67,dibenzoyl-L-tartaric acid,CF14,2743-38-6,358.3,C1=CC=C(C=C1)C(=O)O[C@H]([C@H](C(=O)O)OC(=O)C2=CC=CC=C2)C(=O)O,CO,Methanol,0.9932,0.0013,C1=CC=C(C=C1)C(=O)O[C@H]([C@H](C(=O)O)OC(=O)C2=CC=CC=C2)C(=O)O.CO,0.03911582846291717,0.9540841715370828
754,754,757,"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CC(O)C,2-Propanol,0.897369148,0.012114465,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1.CC(O)C,0.039077007368463534,0.8582921406315365
1001,1001,1004,m-Cresol GPR RECTAPUR�,"CM23, Y1, Y10",108-39-4,108.0575149,CC1=CC(O)=CC=C1,CC1CCCO1,2-Methly tetrahydrofurane,0.274170704,0.067177117,CC1=CC(O)=CC=C1.CC1CCCO1,0.038740704063692094,0.2354299999363079
751,751,754,1-(4-BROMOPHENYL)ETHANOL,RC22,5391-88-8,201.1,CC(C1=CC=C(C=C1)Br)O,CC(O)C,2-Propanol,0.26518926,0.073821067,CC(C1=CC=C(C=C1)Br)O.CC(O)C,0.038245643326839995,0.22694361667316
953,953,956,"4,5-dichlorophthalonitrile",CP8,139152-08-2,197.0,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N,CC(C)(C)OC,Methyl tert butyl ether,0.084501031,0.025509598,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N.CC(C)(C)OC,0.038202733593951405,0.0462982974060486
54,54,54,Aniline,CP37,62-53-3,93.13,C1=CC=C(C=C1)N,CO,Methanol,0.1972,0.0454,C1=CC=C(C=C1)N.CO,0.0380725710028402,0.1591274289971598
229,229,230,"1-CHLORO-4-NITROBENZENE, 99%",D20,100-00-5,157.0,[O-][N+](=O)c1ccc(Cl)cc1,CO,Methanol,0.3473,0.1145,[O-][N+](=O)c1ccc(Cl)cc1.CO,0.03797087750898598,0.309329122491014
561,561,562,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CC(C)=O,Acetone,0.789862362,0.033768867,c1ccc2c(c1)Cc1ccccc1-2.CC(C)=O,0.037750670883895054,0.8276130328838951
275,275,276,"BROMOBENZENE, REAGENTPLUS, 99%",D15,108-86-1,156.0,Brc1ccccc1,CO,Methanol,0.1366,0.0509,Brc1ccccc1.CO,0.03763746859046779,0.1742374685904678
762,762,765,Benzbromarone,RB30,3562-84-3,421.9153184,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC,CC(O)C,2-Propanol,0.853419439,0.052426147,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC.CC(O)C,0.03756594850093642,0.8158534904990635
291,291,292,2-Pheylphenol,CQ4,90-43-7,170.0731649,OC1=CC=CC=C1C2=CC=CC=C2,CO,Methanol,0.8151,0.07,OC1=CC=CC=C1C2=CC=CC=C2.CO,0.037401081234365474,0.7776989187656346
217,217,218,2-Bromoacetophenone,CJ57,2142-69-0,197.9680269,O=C(C1=CC=CC=C1)CBr,CO,Methanol,0.4722,0.0131,O=C(C1=CC=CC=C1)CBr.CO,0.037378306045041165,0.5095783060450412
890,890,893,5-Bromo-2-methoxypyrimidine,CB16,14001-66-2,189.01,COc1ncc(Br)cn1,CCCCCCC,Heptane,-0.101621079,0.007945486,COc1ncc(Br)cn1.CCCCCCC,0.03733719604437949,-0.1389582750443795
904,904,907,"1,3,5-Trimethoxybenzene",CK30,621-23-8,168.0786442,COC1=CC(OC)=CC(OC)=C1,CCCCCCC,Heptane,-0.040410146,0.01565667,COC1=CC(OC)=CC(OC)=C1.CCCCCCC,0.0370449321081302,-0.0033652138918698
1002,1002,1005,Oxolinic acid,RB41,14698-29-4,261.0637225,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,CC1CCCO1,2-Methly tetrahydrofurane,0.737434887,0.062365256,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O.CC1CCCO1,0.03674387623462905,0.700691010765371
1089,1089,1092,6-Amino-3-bromo-2-methylpyridine,CB144,42753-71-9,185.9792603,CC1=NC(N)=CC=C1Br,O=CN(C)C,Dimethyl formamide,0.544042824,0.008003089,CC1=NC(N)=CC=C1Br.O=CN(C)C,0.036604620462137416,0.5806474444621375
363,363,364,,Z166,120-82-1,181.0,C1=CC(=C(C=C1Cl)Cl)Cl,CO,Methanol,0.3947,0.0228,C1=CC(=C(C=C1Cl)Cl)Cl.CO,0.03639465388210772,0.4310946538821077
180,180,180,(R)-(_)-1-Indanol,CA170,697-64-3,134.0,C1CC2=CC=CC=C2C1O,CO,Methanol,0.579,0.0104,C1CC2=CC=CC=C2C1O.CO,0.036240837090182665,0.6152408370901826
168,168,168,Oxolinic acid,RB41,14698-29-4,261.0637225,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,CO,Methanol,0.9891,0.0024,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O.CO,0.03620134310827117,0.9528986568917288
450,450,451,Menadione,AP28,58-27-5,172.0,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O,CCOC(C)=O,Etyl acetate,0.351085148,0.098462652,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O.CCOC(C)=O,0.03615834696476089,0.3872434949647609
